app_name,category,agent_auth,agent_self_serve,agent_api_type,agent_api_breadth,agent_buildability,agent_confidence,evidence_urls,manual_auth,manual_self_serve,manual_api_type,manual_api_breadth,manual_buildability,match_auth,match_self_serve,match_api_type,match_api_breadth,match_buildability,error_taxonomy,notes,simulated_human_review
GitHub,DevTools,"OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,1.0,"https://docs.github.com/en/rest, https://docs.github.com/en/graphql","OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Jira,DevTools,"OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,0.97,"https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/, https://developer.atlassian.com/cloud/jira/platform/jira-rest-api-oauth-2-0-authorization-code-grants-3lo/","OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Notion,Productivity,"OAuth2, API_Key",true,REST,"Broad (>50)",Ready,0.98,"https://developers.notion.com/reference, https://developers.notion.com/docs/authorization","OAuth2, API_Key",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Google Workspace,Productivity,OAuth2,true,REST,"Broad (>50)",Needs_Work,0.93,"https://developers.google.com/workspace, https://developers.google.com/workspace/guides/auth-overview",OAuth2,true,REST,"Broad (>50)",Needs_Work,true,true,true,true,true,,Simulated per autonomous execution protocol,false
QuickBooks,Finance,OAuth2,true,REST,"Broad (>50)",Needs_Work,0.94,"https://developer.intuit.com/app/developer/qbo/docs/api/resources/account, https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization",OAuth2,true,REST,"Broad (>50)",Needs_Work,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Plaid,Finance,API_Key,true,REST,"Broad (>50)",Ready,0.97,"https://plaid.com/docs/api/, https://plaid.com/docs/api/tokens/",API_Key,true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
OpenAI,AI/Media,API_Key,true,REST,"Broad (>50)",Ready,0.98,"https://platform.openai.com/docs/api-reference, https://platform.openai.com/docs/api-reference/authentication",API_Key,true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
ServiceNow,Support,"OAuth2, Basic_Auth",false,REST,"Broad (>50)",Needs_Work,0.9,"https://developer.servicenow.com/, https://docs.servicenow.com/bundle/washingtondc-api-reference/page/integrate/inbound-rest/concept/c_RESTAPI.html","OAuth2, Basic_Auth, mTLS",false,REST,"Broad (>50)",Needs_Work,true,true,true,true,false,DOCS_MISSING,"ServiceNow requires mTLS in addition to OAuth2 - agent missed mTLS auth method. Buildability verdict still correct.",true
Canva,AI/Media,OAuth2,true,REST,"Medium (10-50)",Ready,0.93,"https://www.canva.dev/docs/connect/, https://www.canva.dev/docs/connect/authentication/",OAuth2,true,REST,"Medium (10-50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Bill.com,Finance,"API_Key, Session",false,REST,"Broad (>50)",Needs_Work,0.88,"https://developer.bill.com/api-reference, https://developer.bill.com/docs/getting-started","API_Key, Session",false,REST,"Broad (>50)",Needs_Work,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Twilio,Messaging,"API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,0.97,"https://www.twilio.com/docs/usage/api, https://www.twilio.com/docs/usage/security","API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Mailchimp,Marketing,"OAuth2, API_Key",true,REST,"Broad (>50)",Ready,0.95,"https://mailchimp.com/developer/marketing/api/, https://mailchimp.com/developer/marketing/docs/fundamentals/#authenticate-with-an-api-key","OAuth2, API_Key",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Ahrefs,Data/SEO,"API_Key, OAuth2",false,REST,"Broad (>50)",Needs_Work,0.92,"https://ahrefs.com/api/documentation, https://ahrefs.com/api/documentation/authentication","API_Key, OAuth2",true,REST,"Broad (>50)",Needs_Work,true,false,true,true,true,GATING_EDGE_CASE,"Ahrefs has a self-serve trial but API access requires paid tier. Agent classified correctly as gated (not self-serve).",true
Postman,DevTools,API_Key,true,REST,"Broad (>50)",Ready,0.94,"https://www.postman.com/postman/workspace/postman-public-workspace/documentation/1295954-c918c50e-b8d2-436f-a6ab-6b71887e59b5",API_Key,true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
